GEODB0040538,Hydro,,,
WKS0070144,Solar,,,
WKS0071196,Solar,,,
GEODB0040541,Hydro,,,
GEODB0040534,Hydro,,,
GEODB0040536,Hydro,,,
GEODB0040540,Gas,,,
GEODB0040537,Hydro,,,
GEODB0040535,Hydro,,,
WRI1002169,Hydro,,,
WRI1002170,Hydro,,,
WRI1002171,Hydro,,,
WRI1002172,Hydro,,,
WRI1002173,Hydro,,,
WRI1002174,Hydro,,,
WRI1002175,Hydro,,,
WRI1002176,Other,,,
WKS0068905,Solar,,,
WKS0065285,Solar,,,
WRI1023776,Gas,Oil,,
WKS0068919,Solar,,,
WKS0068916,Solar,,,
WKS0073479,Solar,,,
WKS0068915,Solar,,,
WKS0068912,Solar,,,
WRI1023795,Gas,,,
WKS0068908,Solar,,,
WRI1023777,Gas,Oil,,
WKS0072833,Solar,,,
WRI1023792,Gas,,,
WRI1023793,Gas,,,
WRI1023781,Gas,,,
WKS0065282,Solar,,,
WKS0068917,Solar,,,
WRI1023785,Gas,Oil,,
WKS0068918,Solar,,,
WRI1023768,Gas,Oil,,
WRI1023783,Gas,Oil,,
WRI1023796,Gas,,,
WRI1023779,Gas,,,
WRI1023790,Gas,,,
WRI1023799,Gas,,,
WKS0071083,Solar,,,
WKS0068911,Solar,,,
WKS0065280,Solar,,,
WRI1023798,Hydro,,,
WKS0068914,Solar,,,
WRI1023775,Gas,Oil,,
WRI1023784,Gas,,,
WRI1023769,Gas,,,
WKS0068921,Solar,,,
WRI1023815,Gas,,,
WRI1023772,Gas,Oil,,
WRI1023789,Gas,Oil,,
WRI1023773,Gas,,,
WKS0068920,Solar,,,
WKS0065281,Solar,,,
WKS0065283,Solar,,,
WRI1023774,Gas,Oil,,
WKS0065284,Solar,,,
WRI1023791,Gas,Oil,,
WKS0068907,Solar,,,
WRI1023780,Gas,Oil,,
WRI1023778,Gas,,,
WRI1023771,Gas,,,
WRI1023797,Gas,Solar,,
WRI1023786,Gas,Oil,,
WKS0068926,Solar,,,
WRI1023770,Gas,,,
WRI1023782,Gas,,,
WRI1023787,Gas,,,
WRI1023788,Gas,,,
WKS0068909,Solar,,,
WKS0068925,Solar,,,
WKS0068922,Solar,,,
WKS0068906,Solar,,,
WRI1023002,Oil,,,
WRI1023001,Hydro,,,
WRI1023003,Hydro,,,
WRI1023004,Hydro,,,
WRI1023005,Gas,,,
WRI1023006,Oil,,,
WRI1023007,Gas,,,
WRI1023008,Oil,,,
WRI1023009,Oil,,,
WRI1023010,Oil,,,
WRI1023011,Hydro,,,
WRI1023012,Gas,,,
WRI1023013,Hydro,,,
WRI1023014,Oil,,,
WRI1023843,Oil,,,
WRI1022458,Wind,,,
ARG0000231,Other,Gas,,
ARG0000232,Gas,,,
ARG0000210,Hydro,,,
ARG0000230,Hydro,,,
ARG0000156,Oil,,,
ARG0000235,Gas,Other,,
ARG0000242,Oil,Hydro,,
ARG0000194,Hydro,,,
ARG0000254,Hydro,,,
ARG0000029,Nuclear,,,
ARG0000030,Nuclear,,,
ARG0000328,Oil,,,
ARG0000266,Oil,Hydro,,
ARG0000085,Hydro,,,
ARG0000220,Oil,,,
ARG0000310,Oil,,,
ARG0000159,Oil,,,
ARG0000116,Oil,,,
ARG0000275,Hydro,,,
ARG0000195,Hydro,,,
ARG0000277,Oil,,,
ARG0000278,Oil,,,
ARG0000048,Oil,,,
ARG0000049,Oil,,,
ARG0000050,Oil,,,
ARG0000183,Hydro,,,
ARG0000086,Hydro,,,
ARG0000031,Coal,,,
ARG0000259,Gas,Other,,
ARG0000319,Oil,,,
ARG0000165,Gas,Other,,
ARG0000166,Gas,,,
ARG0000311,Gas,,,
ARG0000274,Gas,Other,,
ARG0000287,Coal,Gas,,
ARG0000330,Gas,,,
ARG0000284,Oil,,,
ARG0000155,Oil,,,
ARG0000042,Gas,,,
ARG0000043,Gas,Other,,
ARG0000307,Gas,Other,,
ARG0000296,Hydro,,,
ARG0000185,Oil,,,
ARG0000295,Solar,,,
ARG0000267,Hydro,,,
ARG0000221,Oil,,,
ARG0000072,Gas,Other,,
ARG0000067,Wind,,,
ARG0000117,Oil,,,
ARG0000046,Coal,Gas,Other,
ARG0000197,Gas,,,
ARG0000087,Oil,Hydro,,
ARG0000110,Gas,,,
ARG0000217,Oil,,,
ARG0000256,Oil,,,
ARG0000229,Oil,,,
ARG0000003,Oil,,,
ARG0000333,Oil,,,
ARG0000334,Oil,,,
ARG0000273,Oil,,,
ARG0000113,Oil,,,
ARG0000023,Gas,,,
ARG0000028,Oil,,,
ARG0000054,Oil,,,
ARG0000257,Oil,,,
ARG0000314,Oil,,,
ARG0000065,Oil,,,
ARG0000189,Oil,,,
ARG0000260,Oil,,,
ARG0000039,Oil,,,
ARG0000147,Gas,,,
ARG0000114,Oil,,,
ARG0000032,Coal,,,
ARG0000160,Gas,,,
ARG0000139,Oil,,,
ARG0000149,Oil,,,
ARG0000004,Oil,,,
ARG0000138,Oil,,,
ARG0000336,Gas,,,
ARG0000152,Oil,,,
ARG0000055,Oil,,,
ARG0000083,Oil,,,
ARG0000059,Oil,,,
ARG0000035,Oil,,,
ARG0000040,Oil,,,
