AFG,Afghanistan,Kajaki Hydroelectric Power Plant Afghanistan,GEODB0040538
AFG,Afghanistan,Kandahar DOG,WKS0070144
AFG,Afghanistan,Kandahar JOL,WKS0071196
AFG,Afghanistan,Mahipar Hydroelectric Power Plant Afghanistan,GEODB0040541
AFG,Afghanistan,Naghlu Dam Hydroelectric Power Plant Afghanistan,GEODB0040534
AFG,Afghanistan,Nangarhar (Darunta) Hydroelectric Power Plant Afghanistan,GEODB0040536
AFG,Afghanistan,Northwest Kabul Power Plant Afghanistan,GEODB0040540
AFG,Afghanistan,Pul-e-Khumri Hydroelectric Power Plant Afghanistan,GEODB0040537
AFG,Afghanistan,Sarobi Dam Hydroelectric Power Plant Afghanistan,GEODB0040535
ALB,Albania,Bistrica 1,WRI1002169
ALB,Albania,Fierza,WRI1002170
ALB,Albania,Koman,WRI1002171
ALB,Albania,Lanabregas,WRI1002172
ALB,Albania,Shkopet,WRI1002173
ALB,Albania,Ulez,WRI1002174
ALB,Albania,Vau i Dijes,WRI1002175
ALB,Albania,Vlora,WRI1002176
DZA,Algeria,Adrar,WKS0068905
DZA,Algeria,Ain Azel,WKS0065285
DZA,Algeria,Ain Djasser,WRI1023776
DZA,Algeria,Ain Sekhouna,WKS0068919
DZA,Algeria,Ain el Ibel I,WKS0068916
DZA,Algeria,Ain el Ibel II,WKS0073479
DZA,Algeria,Ain el Melh,WKS0068915
DZA,Algeria,Algerie Sud-Ouest,WKS0068912
DZA,Algeria,Annaba,WRI1023795
DZA,Algeria,Aoulef,WKS0068908
DZA,Algeria,Arbaa,WRI1023777
DZA,Algeria,Bir Rebaa,WKS0072833
DZA,Algeria,Boufarik 1,WRI1023792
DZA,Algeria,Boufarik 2,WRI1023793
DZA,Algeria,Boutelilis,WRI1023781
DZA,Algeria,Chelghoum El Aïd,WKS0065282
DZA,Algeria,El Kheneg,WKS0068917
DZA,Algeria,F'Krina,WRI1023785
DZA,Algeria,HPC Ouargla,WKS0068918
DZA,Algeria,Hadjret Ennous,WRI1023768
DZA,Algeria,Hamma 2,WRI1023783
DZA,Algeria,Hassi Messaoud Mobile,WRI1023796
DZA,Algeria,Hassi Messoud,WRI1023779
DZA,Algeria,Hassi Messoud Nord 2,WRI1023790
DZA,Algeria,Hassi Messoud Ouest,WRI1023799
DZA,Algeria,Hassi R'mel ISCC,WKS0071083
DZA,Algeria,Hauts Plateaux Centre,WKS0068911
DZA,Algeria,Hauts Plateaux Est,WKS0065280
DZA,Algeria,Ighil Emda,WRI1023798
DZA,Algeria,In Salah,WKS0068914
DZA,Algeria,Jijel,WRI1023775
DZA,Algeria,Kahrama IPP,WRI1023784
DZA,Algeria,Koudiet Eddraouch,WRI1023769
DZA,Algeria,Labiodh Sidi Cheikh,WKS0068921
DZA,Algeria,Labreg,WRI1023815
DZA,Algeria,Marsat,WRI1023772
DZA,Algeria,Marsat TG,WRI1023789
DZA,Algeria,Msila 1,WRI1023773
DZA,Algeria,Naâma,WKS0068920
DZA,Algeria,Oued El Kebrit,WKS0065281
DZA,Algeria,Oued el Ma,WKS0065283
DZA,Algeria,Ras Djinet,WRI1023774
DZA,Algeria,Ras el Oued,WKS0065284
DZA,Algeria,Ravin Blanc,WRI1023791
DZA,Algeria,Reggane,WKS0068907
DZA,Algeria,Relizane,WRI1023780
DZA,Algeria,SKB IPP,WRI1023778
DZA,Algeria,SKS IPP SNC Lavalin,WRI1023771
DZA,Algeria,SPP1 Thermal,WRI1023797
DZA,Algeria,Skikda,WRI1023786
DZA,Algeria,Tamanrasset,WKS0068926
DZA,Algeria,Terga,WRI1023770
DZA,Algeria,Tiaret,WRI1023782
DZA,Algeria,Tilghemt 1,WRI1023787
DZA,Algeria,Tilghemt 2,WRI1023788
DZA,Algeria,Timimoun,WKS0068909
DZA,Algeria,Tindouf,WKS0068925
DZA,Algeria,Télagh,WKS0068922
DZA,Algeria,Zaouiet Kounta,WKS0068906
AGO,Angola,Biopio,WRI1023002
AGO,Angola,Biopio (hydro),WRI1023001
AGO,Angola,Cambambe,WRI1023003
AGO,Angola,Capanda,WRI1023004
AGO,Angola,Cazenga,WRI1023005
AGO,Angola,Huambo,WRI1023006
AGO,Angola,Lobito,WRI1023007
AGO,Angola,Luanda Diesel,WRI1023008
AGO,Angola,Luanda Refinery,WRI1023009
AGO,Angola,Malongo,WRI1023010
AGO,Angola,Matala,WRI1023011
AGO,Angola,Namibe,WRI1023012
AGO,Angola,Rio Luachimo,WRI1023013
AGO,Angola,Xitoto,WRI1023014
ATA,Antarctica,McMurdo Station Generator,WRI1023843
ATA,Antarctica,Ross Island,WRI1022458
ARG,Argentina,AGUA DEL CAJON (AUTOGENERADOR DEL MEM),ARG0000231
ARG,Argentina,AGUA DEL CAJON (GENERADOR DEL MEM),ARG0000232
ARG,Argentina,AGUA DEL TORO,ARG0000210
ARG,Argentina,ALICURA,ARG0000230
ARG,Argentina,ALMIRANTE BROWN,ARG0000156
ARG,Argentina,ALTO VALLE,ARG0000235
ARG,Argentina,ALUMINE,ARG0000242
ARG,Argentina,ALVAREZ CONDARCO,ARG0000194
ARG,Argentina,ARROYITO,ARG0000254
ARG,Argentina,ATUCHA I,ARG0000029
ARG,Argentina,ATUCHA II,ARG0000030
ARG,Argentina,BANDERA,ARG0000328
ARG,Argentina,BARILOCHE (PUERTO  MORENO),ARG0000266
ARG,Argentina,BENJAMIN REOLIN,ARG0000085
ARG,Argentina,BERNARDO  DE IRIGOYEN,ARG0000220
ARG,Argentina,C.T. RUFINO,ARG0000310
